date,slug,techTierSlug,c,perc
2024-07-11,predator,advancedfoundry,156,0.12580645161290321
2024-07-11,raider,foundry,5,0.004032258064516129
2024-07-11,recall,core,296,0.23870967741935484
2024-07-11,recallhunter,core,188,0.15161290322580645
2024-07-11,recallshocker,foundry,37,0.029838709677419355
2024-07-11,scorpion,core,624,0.5032258064516129
2024-07-11,shocker,foundry,404,0.3258064516129032
2024-07-11,sniper,advancedfoundry,278,0.22419354838709676
2024-07-11,stinger,starforge,180,0.14516129032258066
2024-07-11,swiftshocker,foundry,60,0.04838709677419355
2024-07-11,turret,foundry,5,0.004032258064516129
2024-07-11,valkyrie,advancedstarforge,532,0.4290322580645161
2024-07-11,wasp,core,219,0.17661290322580644
2024-07-12,advancedblink,advancedfoundry,364,0.2868400315208826
2024-07-12,advancedbot,advancedstarforge,79,0.062253743104806934
2024-07-12,advancedrecall,starforge,181,0.1426319936958235
2024-07-12,airship,starforge,515,0.40583136327817176
2024-07-12,artillery,advancedstarforge,37,0.029156816390858944
2024-07-12,assaultbot,advancedfoundry,85,0.06698187549251379
2024-07-12,ballista,foundry,8,0.006304176516942475
2024-07-12,beetle,core,10,0.007880220646178092
2024-07-12,behemoth,advancedfoundry,206,0.16233254531126873
2024-07-12,blink,core,181,0.1426319936958235
2024-07-12,blinkhunter,core,498,0.39243498817966904
2024-07-12,bomber,foundry,67,0.05279747832939322
2024-07-12,bulwark,advancedstarforge,49,0.038613081166272656
2024-07-12,butterfly,starforge,162,0.1276595744680851
2024-07-12,crab,core,46,0.036249014972419225
2024-07-12,crusader,foundry,333,0.2624113475177305
2024-07-12,destroyer,foundry,523,0.41213553979511425
2024-07-12,dragonfly,starforge,436,0.34357762017336485
2024-07-12,falcon,starforge,376,0.2962962962962963
2024-07-12,gunbot,core,114,0.08983451536643026
2024-07-12,heavyballista,advancedfoundry,422,0.3325453112687155
2024-07-12,heavyhunter,foundry,195,0.1536643026004728
2024-07-12,heavyturret,starforge,21,0.016548463356973995
2024-07-12,hornet,core,170,0.13396375098502758
2024-07-12,hunter,core,3,0.002364066193853428
2024-07-12,katbus,advancedstarforge,326,0.2568951930654058
2024-07-12,kingcrab,foundry,375,0.29550827423167847
2024-07-12,kraken,advancedstarforge,52,0.04097714736012608
2024-07-12,locust,advancedstarforge,194,0.152876280535855
2024-07-12,mammoth,starforge,582,0.458628841607565
2024-07-12,missilebot,core,128,0.1008668242710796
2024-07-12,mortar,foundry,381,0.30023640661938533
2024-07-12,predator,advancedfoundry,103,0.08116627265563436
2024-07-12,raider,foundry,5,0.003940110323089046
2024-07-12,recall,core,356,0.2805358550039401
2024-07-12,recallhunter,core,207,0.16312056737588654
2024-07-12,recallshocker,foundry,53,0.04176516942474389
2024-07-12,scorpion,core,532,0.41922773837667454
2024-07-12,shocker,foundry,364,0.2868400315208826
2024-07-12,sniper,advancedfoundry,241,0.18991331757289204
2024-07-12,stinger,starforge,149,0.11741528762805359
2024-07-12,swiftshocker,foundry,70,0.055161544523246654
2024-07-12,turret,foundry,12,0.009456264775413711
2024-07-12,valkyrie,advancedstarforge,648,0.5106382978723404
2024-07-12,wasp,core,293,0.23089046493301812
2024-07-13,advancedblink,advancedfoundry,311,0.24840255591054314
2024-07-13,advancedbot,advancedstarforge,73,0.05830670926517572
2024-07-13,advancedrecall,starforge,221,0.17651757188498401
